	Genes	Median scores
126	CNOT7	-0.305463629
127	CNR2	0.02454833
128	CNTFR	0.040177280999999995
129	CPVL	-0.020033291
130	CRB3	0.097194371
131	CRCP	-1.540615093
132	CSDE1	-0.4317052735
133	CSE1L	-2.19388497
134	CSTF1	-0.885930916
135	CTBP2	-0.20272752100000002
136	CTDSP2	-0.13671160100000002
137	CTNNBL1	-0.9210126624999999
138	CTSB	0.0953986725
139	CTTN	-0.2998533605
140	CTTNBP2NL	-0.064209772
141	CUZD1	0.0551054975
142	CXCL17	-0.0041593005
143	CXCR3	-0.0052019525
144	CXCR5	0.100159579
145	CXCR6	0.15364293
146	CYBA	-0.070085011
147	CYP27B1	-0.25088498400000003
148	CYP4X1	-0.11147190700000001
149	CYP7B1	0.132704944
150	CYSRT1	-0.15019296399999998
151	DACH1	-0.1232148615
152	DAPL1	-0.003900662
153	DCANP1	-0.078583892
154	DCDC2B	-0.026126414
155	DDIT3	-0.12662166
156	DDX27	-1.13969435
157	DEK	0.10024769
158	DEPDC1	-0.13678516400000001
159	DGCR2	-0.11527960749999999
160	DHX16	-1.3854158105
161	DHX35	-0.35004190550000003
162	DIDO1	-0.4146738445
163	DLL3	-0.0208472645
164	DMBT1	0.1632784
165	DMTN	0.037631223500000005
166	WDR63	-0.2899492805
167	DOCK5	-0.081079709
168	DPAGT1	-1.4261236295000002
169	DPM1	-0.282657308
170	DR1	-0.7722964835
171	DRC1	-0.10084823
172	DRC7	-0.001595011
173	DSCC1	-0.24130277049999999
174	DSG1	-0.023248552999999998
175	DTHD1	-0.0489189535
176	DUSP12	-0.22045208500000002
177	DUSP6	0.0010912255
178	TCTEX1D4	-0.026228077
179	E2F1	-0.167779778
180	EEF1AKMT3	-0.3032764475
181	EEF1B2	-0.752690827
182	EEF2	-2.4467352425
183	EGFR	-0.23307756200000002
184	EIF3L	-0.2918987505
185	ELF3	-0.0125829675
186	ELMO3	-0.014697663
187	ELP3	-0.8225421355
188	EME1	-0.03374774
189	ENPP3	-0.12341234749999999
190	ENTPD4	0.040139194
191	EPHB2	0.012684705
192	EPM2AIP1	-0.172997557
193	EPOP	-0.5107912775
194	ERAL1	-0.0946673385
195	ERBB2	-0.28062864649999997
196	ERI1	-0.020282604000000003
197	ERICH1	0.20315085649999998
198	ERLIN1	-0.06438087
199	ESR1	-0.07919267099999999
200	ESRP2	-0.12806520799999999
201	ETV4	-0.1027212085
202	EXOC3	-0.6254856485
203	EYA2	0.0491232375
204	EYA4	0.1335768565
205	EZH1	-0.105711878
206	FADD	-0.313566746
207	FAF1	-0.0770579095
208	FAHD2B	-0.21295005649999998
209	FAM209A	0.0574939535
210	FAM209B	-0.052039811000000005
211	FAM219A	-0.148775974
212	FAM24B	0.0799278325
213	FAM32A	-0.7553599595
214	FAM81B	0.045848588
215	FANCD2	-0.207906548
216	FASLG	0.0929823345
217	FBH1	0.0044064635
218	FBXO17	-0.075532515
219	FBXO25	0.0088470135
220	FCGR2A	0.0575778725
221	FCGR3A	0.06845867350000001
222	FCRL6	-0.05380826
223	FDFT1	-0.037691723999999996
224	FAM160B2	0.0242365835
225	FKBP9	-0.0890397795
226	FLT3	-0.1124469105
227	FOCAD	0.046290241999999995
228	FOLR2	0.021444232
229	FOXM1	-0.22155527949999998
230	FRMPD2	-0.1025443865
231	FRS2	-0.20418828649999998
232	FUOM	0.0400936595
233	FUT10	0.201703893
234	FUT2	-0.0125006845
235	FUT3	0.15086260699999998
236	FUT6	-0.0069199015
237	FZD7	0.0791871505
238	GAL	-0.04460782
239	GARS1	-1.327271525
240	GATAD1	-0.179407317
241	GCHFR	-0.0506182935
242	GJC1	-0.141862263
243	GLTP	-0.1304947245
244	GMIP	0.03471189
245	GNAI3	-0.1364363925
246	GNB3	-0.0916344265
247	C10orf99	0.137976821
248	GPR171	0.031923044
249	GPR174	0.051073882
250	GPR18	-0.005405368000000001
251	GRB7	-0.0969464865
252	GRHL2	-0.1402578995
253	GSR	0.037641262
254	GTF2E2	-1.4440870805000001
255	GTPBP4	-1.859707533
256	GZMH	-0.25572677850000003
257	GZMK	-0.093761887
258	GZMM	-0.009347329
259	HASPIN	-0.083081829
260	HEXIM2	-0.0292234485
261	HKDC1	-0.0175562175
262	HMGA2	0.0253706325
263	HMGB2	0.1981367835
264	HORMAD1	-0.201336915
265	HOXA1	-0.0359475915
266	HOXA10	-0.07309344
267	HOXA11	-0.14734708200000002
268	HOXA2	0.046292781
269	HOXA3	0.036040788
270	HOXA4	0.11916144649999999
271	HOXA5	-0.0593321815
272	HOXA6	-0.056138143
273	HOXA7	0.027929079000000002
274	HOXA9	-0.19176125500000002
275	HOXC10	-0.2394288435
276	HOXC11	-0.1924373505
277	HOXC4	-0.29408500049999997
278	HOXC5	-0.202223803
279	HOXC6	-0.19881661550000002
280	HOXC8	-0.14108330400000002
281	HOXC9	-0.2705612955
282	HOXD13	-0.2788795515
283	HPS6	-0.0232410215
284	IDH3B	-0.0342981905
285	IFT20	0.0431160505
286	IFT52	-0.0020792460000000003
287	IGDCC4	-0.18926815749999998
288	IGF1	0.011722874500000001
289	IGF2BP1	0.222052679
290	IGF2BP2	-0.22277393350000002
291	IGF2BP3	-0.047707712
292	IK	-1.5012322965
293	IKZF2	0.15538668249999998
294	IL12B	0.137074457
295	IL2RB	0.0911300635
296	IL5RA	0.1573775775
297	INPP4A	-0.18035358099999999
298	INSL3	-0.0026359625
299	INTS10	-0.47548374449999997
300	INTS5	-1.023805319
301	INTS9	-1.7548221800000001
302	IPCEF1	0.030066121
303	ITGAL	-0.00017885600000000002
304	ITGB7	-0.0255175385
305	KCNMA1	0.0009989415
306	KCNRG	-0.042616744
307	KCTD11	-0.0187291215
308	KCTD9	-0.039211641000000005
309	KDELR2	-0.1351910105
310	KDELR3	-0.0049421885
311	KDF1	-0.0538004065
312	KDM7A	0.04839676
313	KIF13B	-0.0605467675
314	KIF14	-0.55781066
315	KIF15	-0.0921563455
316	KIF23	-2.1009322495
317	KIF2C	-0.290980252
318	KIF4A	-0.7148407025
319	KLHL9	0.0999519565
320	KLRB1	0.0861275755
321	KPNA2	-0.40870143449999996
322	KRT1	-0.0446514535
323	KRT10	-0.1730538625
324	LARP4B	-0.148635243
325	LCN2	-0.064619378
326	LDLRAD1	-0.159622582
327	LEPROTL1	0.12090239850000001
328	LIME1	0.0829113675
329	LIPG	-0.0083462975
330	LPXN	0.068021919
331	LRFN1	-0.0530058835
332	LSR	0.08415399100000001
333	LTB	-0.0385000335
334	LTO1	-1.716117299
335	LY9	-0.06510898300000001
336	LYN	0.032746116500000005
337	MAB21L4	0.0376641655
338	MAD2L1	-1.661140603
339	MAD2L2	-0.9203284860000001
340	MAK16	-1.7254363074999999
341	MAP3K19	-0.0226693865
342	MAP4K1	0.036528666
343	MAP6D1	-0.047570797
344	MAP7D3	-0.059580682
345	MARCHF9	-0.368337914
346	MARCKS	-0.0256452765
347	MBD2	-0.0115723835
348	MCM10	-0.625965066
349	MCM6	-1.160936257
350	MCPH1	-0.19239484699999998
351	MDM2	-0.3942819755
352	MED10	-0.4724803825
353	METTL1	-0.442037834
354	METTL5	-0.251260753
355	MFHAS1	0.08518152849999999
356	MFSD14A	-0.066888668
357	MIEN1	-0.194079164
358	MIPOL1	-0.056062582
359	MITD1	-0.114646671
360	MKNK2	0.0964134715
361	MLH1	-0.09477911550000001
362	MLLT3	-0.046024817499999995
363	MON1B	0.054321587000000005
364	MORN5	-0.0445684745
365	MPP1	0.054735862499999996
366	MPV17L	-0.09747620700000001
367	MRGBP	-0.7383408634999999
368	MRM2	-0.3222714565
369	MRPL36	-0.5260048884999999
370	MRPS17	-0.1796564135
371	MRPS27	-0.4810964955
372	MS4A4A	-0.0299492555
373	MS4A6A	-0.0751520295
374	MS4A7	-0.000905957
375	MS4A8	-0.0903288145
376	MSL1	-0.331361189
377	MSR1	0.12483274899999999
378	MTBP	-1.663129741
379	MTHFD2	0.008032766
380	MUC16	-0.013767575
381	MUC20	-0.237319556
382	MUC4	0.026890589
383	MUC5B	-0.051280996999999995
384	MYBL2	-0.455639165
385	MYBPC2	-0.108126709
386	NADK2	0.07783559849999999
387	NAT1	0.07976628899999999
388	NCAPG	-1.5654772285
389	NCAPH	-1.119802858
390	NCCRP1	-0.0395236645
391	NDC80	-1.4238945675
392	NDUFS6	-0.021460905000000002
393	NEK2	-0.045567131
394	NEMP1	0.0405659005
395	NKAIN1	-0.0008796629999999999
396	NLRC3	-0.105683374
397	NLRX1	0.0180082695
398	NME8	-0.0274101375
399	NOP56	-1.4283705
400	NOXO1	-0.0583717925
401	NPEPL1	0.029467101
402	NPM2	0.045594769
403	NRAS	-0.1539210225
404	NRM	-0.12439649700000001
405	NUDT1	0.017771371
406	NUDT18	-0.164129514
407	NUF2	-1.7454270325
408	NUP107	-1.0060578955000001
409	NUSAP1	-0.1867659875
410	ARMC4	0.043419278500000005
411	OLAH	0.08286394899999999
412	ORC1	-1.0158952425
413	ORMDL3	-0.133712014
414	OS9	-0.32606719399999995
415	OSER1	-0.055312782
416	OVOL2	-0.0547188785
417	P2RY10	-0.043198101
418	PAM	0.079175195
419	PARP8	0.017730174
420	PBX4	-0.0142994765
421	PCDH7	0.0735017755
422	PCM1	-0.27538284150000003
423	PCMT1	-0.071597253
424	PDCD1	-0.026369064499999997
425	PDCD6	-0.203516319
426	PDRG1	-1.5185018835
427	PDZK1IP1	-0.24329060149999998
428	PER2	-0.1041078785
429	PFDN4	-0.3185366755
430	PGR	0.053178515999999995
431	PIGR	0.0066876825
432	PIMREG	-0.069994299
433	PINX1	-0.1059086375
434	PLA2G4D	-0.13228839
435	PLEKHA2	-0.035827035
436	PLEKHG7	-0.014412791500000001
437	PLK1	-2.7367943665
438	PNPLA1	-0.050073348000000004
439	PNPT1	-0.8842269620000001
440	POLDIP2	-0.022747486
441	POLL	-0.061955753
442	POLR3D	-0.505907246
443	PPFIA1	-0.09561304749999999
444	PPP2R2A	-0.1709276065
445	PPP5C	-0.103541433
446	PRC1	-1.4305109255000001
447	PRELID3B	-1.8799018185
448	PRKCQ	0.076907688
449	PRR29	0.0191701165
450	PRRG2	0.1026855765
451	PRSS22	0.0137285545
452	PRSS27	0.0128411405
453	PRSS8	0.0396145335
454	PSMA7	-2.3063363194999997
455	PSMB10	-0.054321461
456	PSMD3	-1.7421797025
457	PSRC1	-0.22221535
458	PSTPIP1	-0.059466765000000005
459	PTCD2	-0.012303504
460	PTK2B	0.22121926549999998
461	PTN	0.046848072000000004
462	PTPRCAP	-0.043028193000000006
463	PTX3	0.15038116
464	PXDC1	0.045668954
465	R3HCC1	0.11775904849999999
466	RAB25	-0.0812236365
467	RAB36	-0.041650845
468	RACGAP1	-1.5336451549999999
469	RAD51	-1.413061973
470	RAD54L	-0.180808003
471	RAE1	-1.3706754965
472	RAI2	0.10232157450000001
473	RASAL3	-0.081384631
474	RASGEF1B	-0.054503284
475	RBBP8NL	-0.012829753499999999
476	RBMXL1	-0.836875665
477	REEP4	0.0152492785
478	RHEX	-0.06957201
479	RIIAD1	-0.07125003699999999
480	RILPL1	-0.215906078
481	RNF114	-0.040566655
482	RNF144B	0.0992865305
483	RNF222	0.09543427500000001
484	RP9	-0.1036552715
485	RPAP3	-0.755579553
486	RPL3	-2.4140946994999997
487	RPS6KA1	-0.15424955499999998
488	RSPH14	-0.1815991065
489	RSPH4A	0.12615829
490	RSPO1	0.114854266
491	RTEL1	-0.4910384075
492	S1PR4	-0.0051979455
493	SAE1	-1.332699071
494	SARAF	-0.007186743000000001
495	SBSN	-0.0307183105
496	SCEL	0.11624079500000001
497	SCNN1A	0.0130091715
498	SCUBE1	0.0036236285
499	SDF2	-0.16774767699999998
500	SDHA	-0.145550602
501	SEC61G	-1.128708703
502	SELENOP	0.012108325999999999
503	SERPINB1	-0.0352083615
504	SGO2	-0.14254896
505	SHCBP1	-0.1374216105
506	SHOX2	-0.028600778
507	SIGLEC1	-0.010818670499999999
508	SIKE1	-0.0521475075
509	SIT1	0.0079728605
510	SKA3	-0.7645435135
511	SKIDA1	-0.008274442
512	SLAMF7	-0.078083402
513	SLC18A2	0.09427869250000001
514	SLC25A21	0.10955892049999999
515	SLC35E3	-0.080231472
516	SLC39A2	-0.041493795
517	SLC40A1	0.044863485999999994
518	SLC4A5	-0.296738838
519	SLC6A20	-0.0573941055
520	SLFN12L	-0.004663843
521	SLPI	-0.0018270215
522	SNRPA1	-3.021992702
523	SNRPD1	-2.7387608155
524	SNRPG	-2.0631823369999998
525	SNTN	0.004868516
526	SNX20	0.0527630135
527	SORBS2	0.091336997
528	SPAG5	-0.5384470705
529	SPC24	-2.2480117059999998
530	SPC25	-1.7031504425000001
531	SPINT2	-0.0790498915
532	SPN	-0.033870839
533	SPRED2	0.098684538
534	SPRY4	0.067112389
535	SQOR	-0.07823688449999999
536	SRPRA	-0.740361484
537	ST14	0.10385963000000001
538	ST6GALNAC1	-0.1652508815
539	STAC	0.054554088
540	STARD3	-0.15237080349999998
541	STAT4	-0.017234227499999998
542	STAU1	-0.0393413835
543	STMN1	-0.0109806435
544	STT3A	-0.18709661500000002
545	STX18	-1.085680322
546	STX19	0.1080767305
547	SUN1	0.126714723
548	SYK	0.005367002500000001
549	SYTL1	-0.0537595965
550	SYTL3	0.09140849949999999
551	TACR1	-0.1013332905
552	TAF4	-0.23643571800000002
553	TAGAP	0.079475508
554	TBC1D10C	-0.29057940250000003
555	TBC1D31	-0.13234540900000002
556	TCF19	-0.026023689500000002
557	TCF25	-0.0567366785
558	TENT5C	-0.07687596099999999
559	TESPA1	-0.11611495499999999
560	TEX19	-0.0524088335
561	THEM5	-0.23688176449999998
562	THEMIS	0.023695035
563	TIFAB	-0.05133797
564	TIRAP	0.14089351049999999
565	TKFC	-0.2233490805
566	TLR3	0.18000198950000001
567	TMED6	-0.0939008935
568	TMEFF1	0.080074635
569	TMEM106A	-0.1082927915
570	TMEM184A	0.017523271
571	TMEM190	0.073913868
572	TMEM199	-0.499414013
573	TMEM203	0.3863693975
574	TMEM243	-0.035238112
575	TMEM248	-0.1381422635
576	TMEM79	-0.0252687235
577	TNFAIP6	-0.0040565345
578	TNFRSF10A	0.043640929999999994
579	TNFRSF10B	0.16007442100000002
580	TNIP1	0.071896212
581	TOGARAM2	0.16238608399999999
582	TOM1	-0.0871740325
583	TOP2A	-2.3073940185
584	TPRKB	-0.5480147825
585	TPX2	-1.2944370975
586	TRIB3	0.088007211
587	TRIM35	0.0748240415
588	TRIM8	-0.10552895500000001
589	TRIP13	-0.288541128
590	TRMT9B	0.06547776
591	TSFM	-0.3681302665
592	TSPAN31	-0.24170613000000002
593	TTC7B	-0.005702024
594	TTC9	-0.0035801360000000003
595	TTI2	-0.8541073475000001
596	TTK	-0.7739798755
597	TTLL10	0.1402483445
598	TUBA4B	-0.156100152
599	TUBB	-1.6800590265
600	TYW1	-0.0342239025
601	UBASH3A	-0.0013103835
602	UBE2C	-0.7600650870000001
603	UBXN8	-0.042623986
604	UCKL1	0.26910020749999997
605	UQCC1	-0.1847076145
606	USP1	-0.29052907
607	USP54	-0.105873538
608	VKORC1L1	-0.16400564
609	VPS37A	-0.5577955215
610	VWA3A	-0.041623808
611	WBP1L	-0.15914317
612	WDHD1	-1.2627480800000002
613	WDR62	-0.14394277
614	WDR70	-1.668658106
615	WDR76	-0.31036209000000003
616	WRN	-0.1461266245
617	WWP2	-0.10337520850000001
618	XKRX	-0.025208827000000003
619	XPO5	-0.584402892
620	XPO7	-0.030332815
621	YEATS4	-0.7522999315
622	YTHDF1	0.162391337
623	YWHAB	-0.0261154965
624	ZBBX	0.0782798225
625	ZFP64	0.032561372500000005
626	ZGRF1	-0.08105509150000001
627	ZNF311	-0.06073958
628	ZNF385B	0.123682161
629	ZNF395	-0.0101347355
630	ZNF516	0.009455697
631	ZNF622	-0.177766079
632	ZNF772	0.0646707425
633	ZNF831	0.09028377300000001
634	ZNHIT6	-0.702113789
